name,category,da,url,submission_url,status,anchor_target
Apollo.io Company Registry,Intelligence,82,https://www.apollo.io,https://www.apollo.io/companies,READY_FOR_SUBMISSION,Surplus Docket Company
Wellfound (AngelList Talent),Intelligence,89,https://wellfound.com,https://wellfound.com/startups/new,READY_FOR_SUBMISSION,Surplus Docket Legal AI
F6S Startup Platform,Intelligence,81,https://www.f6s.com,https://www.f6s.com/programs/add,READY_FOR_SUBMISSION,Surplus Docket Real Estate Law Tech
Product Hunt,Launch,91,https://www.producthunt.com,https://www.producthunt.com/posts/new,READY_FOR_SUBMISSION,Surplus Docket Court Data Launch
BetaList,Launch,77,https://betalist.com,https://betalist.com/submit,READY_FOR_SUBMISSION,Surplus Docket Early Access
Launched.io,Launch,55,https://launched.io,https://launched.io/submit,READY_FOR_SUBMISSION,Surplus Docket
Indie Hackers Product Directory,Launch,84,https://www.indiehackers.com,https://www.indiehackers.com/products/new,READY_FOR_SUBMISSION,Surplus Docket Architecture
Startup Stash,Launch,69,https://startupstash.com,https://startupstash.com/submit-resource/,READY_FOR_SUBMISSION,Surplus Docket Tools
AllTopStartups,Launch,63,https://alltopstartups.com,https://alltopstartups.com/submit-startup/,READY_FOR_SUBMISSION,Surplus Docket Foreclosure Legal Intelligence
PropTech Weekly Directory,PropTech,51,https://proptechweekly.com,https://proptechweekly.com/submit,READY_FOR_SUBMISSION,Surplus Docket PropTech Foreclosure Solutions
CREtech Industry Platform,PropTech,60,https://www.cretech.com,https://www.cretech.com/companies/add,READY_FOR_SUBMISSION,Commercial & Tax Deed Surplus Recovery
National Real Estate Investor (WealthManagement),Real Estate,79,https://www.wealthmanagement.com,https://www.wealthmanagement.com/submit-directory,READY_FOR_SUBMISSION,Surplus Docket Real Estate Law Tech
Inman Real Estate Directory,Real Estate,83,https://www.inman.com,https://www.inman.com/directory,READY_FOR_SUBMISSION,Foreclosure Surplus Funds Intelligence
HousingWire Tech100 Directory,Real Estate,80,https://www.housingwire.com,https://www.housingwire.com/tech100,READY_FOR_SUBMISSION,Court Docket Surplus Research
There is an AI For That,AI Tools,71,https://theresanaiforthat.com,https://theresanaiforthat.com/submit/,READY_FOR_SUBMISSION,Surplus Docket AI Legal Scraper
Futurepedia,AI Tools,68,https://www.futurepedia.io,https://www.futurepedia.io/submit-tool,READY_FOR_SUBMISSION,Surplus Docket AI Docket Intelligence
TopAI.tools,AI Tools,64,https://topai.tools,https://topai.tools/submit,READY_FOR_SUBMISSION,Legal Title Scrubbing AI
Toolify.ai,AI Tools,67,https://www.toolify.ai,https://www.toolify.ai/submit,READY_FOR_SUBMISSION,Court Registry Docket Automation
Better Business Bureau (BBB),Accreditation,93,https://www.bbb.org,https://www.bbb.org/get-accredited,READY_FOR_SUBMISSION,Surplus Docket LLC
YellowPages Directory,Directory,90,https://www.yellowpages.com,https://adsolutions.yp.com/free-listing-claim,READY_FOR_SUBMISSION,Surplus Docket Legal Services
Superpages Business Registry,Directory,84,https://www.superpages.com,https://www.superpages.com/add-listing,READY_FOR_SUBMISSION,Surplus Docket Docket Search
Manta Small Business Directory,Directory,85,https://www.manta.com,https://www.manta.com/add-my-company,READY_FOR_SUBMISSION,Surplus Docket Legal Intelligence Solutions
Chamber of Commerce Business Directory,Directory,80,https://www.chamberofcommerce.com,https://www.chamberofcommerce.com/add-a-business,READY_FOR_SUBMISSION,Surplus Docket Legal Technology
